Date,alk_Adj Close,bhc_Adj Close,gs_Adj Close,aapl_Adj Close,goog_Adj Close,amzn_Adj Close,alk_Volume,bhc_Volume,gs_Volume,aapl_Volume,goog_Volume,amzn_Volume
2010-10-01,10.972344,24.757707999999997,127.14785800000001,8.719163,261.82861299999996,153.71000700000002,1663600.0,5778700.0,7439800.0,448142800.0,4466600.0,8683400.0
2010-10-04,10.703489,24.873082999999998,126.17511699999999,8.599421000000001,260.199707,155.389999,1512400.0,4187200.0,5866700.0,435302000.0,3895400.0,5346500.0
2010-10-05,10.767396000000002,25.286512,128.757706,8.917297999999999,268.110046,160.869995,2567200.0,4610300.0,8724700.0,501967200.0,7040400.0,5620000.0
2010-10-06,10.743157,25.661483999999998,129.850906,8.925013,266.177307,155.399994,1043600.0,4448900.0,6330600.0,670868800.0,5545200.0,6060800.0
2010-10-07,10.247319000000001,25.574951000000002,130.083435,8.925941,264.015411,156.270004,7682400.0,2453900.0,4471500.0,408399600.0,4809400.0,4622000.0
2010-10-08,10.619747,25.805704000000002,131.417725,9.075621,267.17355299999997,155.550003,3212400.0,1825800.0,5225100.0,658403200.0,5739800.0,6918400.0
2010-10-11,10.361914,26.113371,131.021729,9.115436,268.41391,153.029999,1256800.0,1750200.0,4454400.0,427753200.0,5272200.0,4486400.0
2010-10-12,10.428024,26.805626,133.612915,9.213575,269.684143,156.479996,1434000.0,2228700.0,6378000.0,558544000.0,7535300.0,5280800.0
2010-10-13,10.476505,26.786398,133.199677,9.262955,270.63559,155.169998,1598400.0,3289900.0,5626200.0,630092400.0,6134000.0,5632800.0
2010-10-14,10.441245,26.238363,130.496597,9.329925999999999,269.455017,155.529999,1549200.0,4066900.0,6891100.0,435296400.0,13317800.0,4024100.0
2010-10-15,10.390559,25.680712,129.721832,9.71354,299.60202000000004,164.639999,1681200.0,2536500.0,6901500.0,922194000.0,29760600.0,10135500.0
2010-10-18,10.487522,25.565336,132.312943,9.814152,307.70166,163.559998,1102800.0,2945000.0,6972300.0,1093010800.0,14249500.0,6331300.0
2010-10-19,10.242908,25.228825,134.912766,9.551516000000001,302.780121,158.669998,1471600.0,2224900.0,14491200.0,1232784000.0,9210100.0,7525000.0
2010-10-20,10.888599000000001,25.536493,137.392029,9.583611,302.854828,158.669998,2051600.0,2063800.0,10631200.0,721624400.0,7076500.0,5790400.0
2010-10-21,10.857749,25.469191,137.13378899999998,9.552444,304.852325,164.970001,2862400.0,3411600.0,6350900.0,551460000.0,5862800.0,13482500.0
2010-10-22,11.093547000000001,25.286512,135.80809,9.489175,305.121338,169.130005,1654800.0,1352600.0,4051700.0,372778000.0,4529100.0,16318400.0
2010-10-25,11.201532,25.555721,135.48956299999998,9.531454,307.098907,169.0,1340800.0,1612000.0,5728300.0,392462000.0,6340400.0,6530900.0
2010-10-26,11.309514,25.767244,136.264328,9.507076,308.144989,169.949997,1245600.0,1598200.0,4068500.0,392929600.0,5044600.0,4689600.0
2010-10-27,11.518866000000001,26.04607,137.86549399999998,9.500285,307.083984,167.509995,1369200.0,2618700.0,6570900.0,399002800.0,4500500.0,5721800.0
2010-10-28,11.637868,26.017225,140.525528,9.42035,308.13504,166.83999599999999,1390400.0,1810600.0,9918800.0,551051200.0,4384900.0,4684400.0
2010-10-29,11.635662,26.546032,138.709152,9.288879,305.70413199999996,165.229996,912800.0,4278000.0,4536600.0,430511200.0,4573600.0,4998500.0
2010-11-01,11.556328,26.488342,139.087875,9.387636,306.351715,162.580002,1336800.0,1787800.0,4514400.0,423889200.0,6197200.0,5239900.0
2010-11-02,11.734831,26.603718,140.16403200000002,9.547504,306.650604,164.610001,1144000.0,1419300.0,3332400.0,433930000.0,4010000.0,4260000.0
2010-11-03,11.908926,27.170982000000002,140.000443,9.653669,308.93203700000004,168.470001,1069600.0,4628700.0,4462800.0,508348400.0,6786200.0,6112100.0
2010-11-04,12.175576,26.132601,143.23722800000002,9.822486999999999,310.969421,168.929993,1852000.0,12051100.0,8162600.0,642488000.0,7168300.0,7395900.0
